pt_id,pt,pp_broad_cat,color
0,HYD_RES,HYDRO,#3C0C66
1,HYD_ROR,HYDRO,#B57CE5
2,WIN_ONS,VARIABLE,#4C4FFF
3,WIN_OFF,VARIABLE,#00027F
4,SOL_PHO,VARIABLE,#4CEFFF
5,NUC_ELC,CONVDISP,#E5853B
6,GEO_ELC,RENDISP,#00747F
7,WAS_ELC,RENDISP,#20660A
8,BAL_ELC,RENDISP,#3B662E
9,HYD_STO,HYDROSTORAGE,#36384C
10,HCO_LIN,CONVDISP,#FF1F00
11,LIG_LIN,CONVDISP,#59221B
12,GAS_LIN,CONVDISP,#7F5200
13,GAS_NEW,CONVDISP,#7F52FF
14,OIL_LIN,CONVDISP,#634000
15,LOL_LIN,CONVDISP,#5C0063
16,DMND_FLEX,CURTAILMENT,#FFFC00
17,STO_LI,NEW_STORAGE,#7B09CC
18,STO_LI_SFH,NEW_STORAGE_LI_SFH,#7B09CC
19,STO_LI_MFH,NEW_STORAGE_LI_MFH,#59F909
20,STO_LI_OCO,NEW_STORAGE_LI_OCO,#28A503
21,STO_LI_IND,NEW_STORAGE_LI_IND,#1A6703
22,PHO_SFH,PHOTO_SFH,#D9F209
23,PHO_MFH,PHOTO_MFH,#F2D109
24,PHO_OCO,PHOTO_OCO,#F27E09
25,PHO_IND,PHOTO_IND,#F22C09
26,STO_VR_SFH,NEW_STORAGE_VR_SFH,#7B09CC
27,STO_VR_MFH,NEW_STORAGE_VR_MFH,#59F909
28,STO_VR_OCO,NEW_STORAGE_VR_OCO,#28A503
29,STO_VR_IND,NEW_STORAGE_VR_IND,#1A6703
30,HP_AW_SFH,HEATPUMP_AIR_SFH,#F2D109
31,HP_WW_SFH,HEATPUMP_WAT_SFH,#F2D109
32,HP_AW_MFH,HEATPUMP_AIR_MFH,#F2D109
33,HP_WW_MFH,HEATPUMP_WAT_MFH,#F2D109
34,STO_HT_SFH,HEAT_STORAGE_SFH,#F2D109
35,STO_HT_MFH,HEAT_STORAGE_MFH,#F2D109
36,DHW_BO_SFH,DHW_BOILER_SFH,#D9F209
37,DHW_BO_MFH,DHW_BOILER_MFH,#D9F209
38,DHW_STO_SFH,DHW_STORAGE_SFH,#28A503
39,DHW_STO_MFH,DHW_STORAGE_MFH,#1A6703
40,DHW_AW_SFH,DHW_HEATPUMP_AIR_SFH,#F2D109
41,DHW_WW_SFH,DHW_HEATPUMP_WAT_SFH,#F2D109
42,DHW_AW_MFH,DHW_HEATPUMP_AIR_MFH,#F2D109
43,DHW_WW_MFH,DHW_HEATPUMP_WAT_MFH,#F2D109
