nd_id,pt_id,discharge_duration,st_lss_rt,fc_om,fc_om_yr2020,fc_om_yr2025,fc_om_yr2030,fc_om_yr2035,fc_om_yr2040,fc_om_yr2045,fc_om_yr2050,fc_cp_ann,fc_cp_ann_yr2020,fc_cp_ann_yr2025,fc_cp_ann_yr2030,fc_cp_ann_yr2035,fc_cp_ann_yr2040,fc_cp_ann_yr2045,fc_cp_ann_yr2050,ca_id,pp_eff
SFH_RUR_0,STO_V2G_SFH_RUR_0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_RUR_1,STO_V2G_SFH_RUR_1,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_RUR_2,STO_V2G_SFH_RUR_2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_RUR_3,STO_V2G_SFH_RUR_3,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_SUB_0,STO_V2G_SFH_SUB_0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_SUB_1,STO_V2G_SFH_SUB_1,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_SUB_2,STO_V2G_SFH_SUB_2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_SUB_3,STO_V2G_SFH_SUB_3,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_URB_0,STO_V2G_SFH_URB_0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_URB_1,STO_V2G_SFH_URB_1,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_URB_2,STO_V2G_SFH_URB_2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SFH_URB_3,STO_V2G_SFH_URB_3,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_RUR_0,STO_V2G_MFH_RUR_0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_RUR_1,STO_V2G_MFH_RUR_1,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_RUR_2,STO_V2G_MFH_RUR_2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_RUR_3,STO_V2G_MFH_RUR_3,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_SUB_0,STO_V2G_MFH_SUB_0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_SUB_1,STO_V2G_MFH_SUB_1,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_SUB_2,STO_V2G_MFH_SUB_2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_SUB_3,STO_V2G_MFH_SUB_3,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_URB_0,STO_V2G_MFH_URB_0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_URB_1,STO_V2G_MFH_URB_1,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_URB_2,STO_V2G_MFH_URB_2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MFH_URB_3,STO_V2G_MFH_URB_3,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
